Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
2.071000000000000E+3	53.171566442440331E-3	-6.679673824157874E+0	90.409061730475707E-3	-7.980962305077191E+0	136.159414022121390E-3	-767.393786237289380E-3
2.072000000000000E+3	48.726919060591803E-3	-6.664797638459211E+0	92.427706329402948E-3	-7.950127891283212E+0	125.544167880133230E-3	-756.397076828617560E-3
2.073000000000000E+3	44.272300398414642E-3	-6.642267622395892E+0	94.744250141583289E-3	-7.922272727878349E+0	115.073643282072240E-3	-741.224876917013110E-3
2.074000000000000E+3	40.307535715656928E-3	-6.618340725718458E+0	96.821618997376707E-3	-7.896764078063624E+0	105.132745158918960E-3	-726.020994067480110E-3
2.075000000000000E+3	36.308244051892098E-3	-6.593186463309772E+0	99.152347105303892E-3	-7.871387294943135E+0	95.126578143311297E-3	-706.996841419152310E-3
2.076000000000000E+3	32.395294345179744E-3	-6.565054377924680E+0	101.410776145651010E-3	-7.846997736625852E+0	85.676713809647267E-3	-681.595495318630620E-3
2.077000000000000E+3	28.477656462530056E-3	-6.520955951932068E+0	104.171771847733250E-3	-7.824031158293981E+0	76.691780648151381E-3	-650.249400745549160E-3
2.078000000000000E+3	25.122822949150150E-3	-6.468906214070416E+0	106.431750716633340E-3	-7.805577447648878E+0	68.207559816033950E-3	-617.288049028344330E-3
2.079000000000000E+3	21.665497909287408E-3	-6.409642181380184E+0	109.068740269952820E-3	-7.781984811532610E+0	59.758954390378601E-3	-572.130340737953440E-3
2.080000000000000E+3	18.660903442852823E-3	-6.326188939400684E+0	111.703930433359590E-3	-7.766261978472856E+0	51.969006991314154E-3	-520.198183651523930E-3
2.081000000000000E+3	15.669105149947841E-3	-6.232480881059174E+0	114.057017093736390E-3	-7.746938955176317E+0	44.114903120750802E-3	-449.762314588770310E-3
2.082000000000000E+3	13.022909836700170E-3	-6.079715502852153E+0	116.697273128999870E-3	-7.731307919494750E+0	36.864378031329463E-3	-352.847472264475550E-3
2.083000000000000E+3	10.821739779545274E-3	-5.884076993393569E+0	119.038677293833400E-3	-7.714613336038711E+0	30.028195084573352E-3	-208.109100835626560E-3
2.084000000000000E+3	9.279161800882590E-3	-5.586761035703103E+0	121.823490322640990E-3	-7.699158730701670E+0	24.699113056208328E-3	9.920864158139911E-3
2.085000000000000E+3	8.779017766905491E-3	-5.245802333021052E+0	124.401648537141470E-3	-7.684463802939230E+0	21.214106792885237E-3	303.908068430271460E-3
2.086000000000000E+3	9.485422774265794E-3	-4.917049294176855E+0	127.376193920280990E-3	-7.673176071079526E+0	19.876691459478294E-3	633.134974206498110E-3
2.087000000000000E+3	10.551673835716643E-3	-4.676514171043024E+0	129.566746698069060E-3	-7.662209523343746E+0	20.565922360032303E-3	988.111519595647140E-3
2.088000000000000E+3	12.266356045853306E-3	-4.466467618516957E+0	132.436741030375200E-3	-7.649667930094356E+0	23.504747015847739E-3	1.263428818732487E+0
2.089000000000000E+3	14.215021733064376E-3	-4.324750079097612E+0	134.926236528175810E-3	-7.642064121586593E+0	27.672447276733705E-3	1.476945794869235E+0
2.090000000000000E+3	16.432848262474639E-3	-4.211162788779892E+0	137.336016959564850E-3	-7.632962399541594E+0	32.544920130327559E-3	1.615355734969243E+0
2.091000000000000E+3	18.723687207059241E-3	-4.136264037889604E+0	139.541249807865340E-3	-7.626107977473239E+0	37.485086131718304E-3	1.731098573228236E+0
2.092000000000000E+3	20.969415083965479E-3	-4.073432073150189E+0	141.762662080920920E-3	-7.616720027482223E+0	43.089404663698157E-3	1.819362284926577E+0
2.093000000000000E+3	23.221131273941854E-3	-4.023363743935620E+0	144.172879379636190E-3	-7.609345387729128E+0	49.037972300115432E-3	1.885543235501462E+0
2.094000000000000E+3	25.538334709528154E-3	-3.979709006018986E+0	146.411944780055180E-3	-7.601039739554542E+0	55.108780450965893E-3	1.929620696830549E+0
2.095000000000000E+3	27.823081682898002E-3	-3.947370762324922E+0	148.817173308515380E-3	-7.591885765537944E+0	60.982604142057154E-3	1.961721135479141E+0
2.096000000000000E+3	30.096405271715230E-3	-3.918999374478890E+0	151.399283147974740E-3	-7.583117680810837E+0	66.370273877967872E-3	1.983552900324374E+0
2.097000000000000E+3	32.284093596247912E-3	-3.896426001509940E+0	153.948761787579960E-3	-7.573815689108410E+0	71.267788369601265E-3	2.008844551146653E+0
2.098000000000000E+3	34.453890931231163E-3	-3.874548593538597E+0	156.856109501523730E-3	-7.563818703206350E+0	76.408457201553176E-3	2.034240812316154E+0
2.099000000000000E+3	36.564979664099044E-3	-3.857452399863359E+0	160.060527791772460E-3	-7.555596575978278E+0	81.615116502967808E-3	2.057384214130785E+0
