Freq (Hz)	Coh_mic1/mic2	Coh_mic3/mic2	Coh_mic4/mic2
1.334000000000000E+3	999.391506828724350E-3	990.273960044592120E-3	999.149920596002600E-3
1.335000000000000E+3	999.193539500061510E-3	989.252871863739340E-3	999.231272514313980E-3
1.336000000000000E+3	999.112492654195220E-3	986.733610898671840E-3	998.930136113815310E-3
1.337000000000000E+3	999.368103359347560E-3	992.750929806129890E-3	999.016361109999250E-3
1.338000000000000E+3	999.448570791804160E-3	994.628356443010060E-3	999.130765459163900E-3
1.339000000000000E+3	999.693102415083800E-3	997.374540608383490E-3	999.517257551636340E-3
1.340000000000000E+3	999.434407087417150E-3	991.440909824185980E-3	999.170079353357220E-3
1.341000000000000E+3	997.207555228184940E-3	936.010660333871590E-3	996.730082888701130E-3
1.342000000000000E+3	990.366017731421410E-3	826.705264878597080E-3	987.066708913038940E-3
1.343000000000000E+3	996.856830194948530E-3	930.880847344493830E-3	996.296435974270420E-3
1.344000000000000E+3	998.784986460802380E-3	988.394251751452570E-3	998.722960279485930E-3
1.345000000000000E+3	998.653823185780110E-3	985.069247337063690E-3	998.236971190780810E-3
1.346000000000000E+3	999.104695867898410E-3	963.059086458494580E-3	998.395587134270790E-3
1.347000000000000E+3	998.945324348867850E-3	989.654845487845440E-3	999.065722535404930E-3
1.348000000000000E+3	999.091168179027210E-3	967.420850650959730E-3	998.805800236757800E-3
1.349000000000000E+3	997.612838401887300E-3	960.411515684728160E-3	995.541941920165100E-3
1.350000000000000E+3	995.656359710680890E-3	965.414394589199640E-3	993.837747619192970E-3
1.351000000000000E+3	995.142237937341130E-3	962.386462875460040E-3	991.038099239340720E-3
1.352000000000000E+3	999.689203253573470E-3	993.647128288947190E-3	999.235258461511840E-3
1.353000000000000E+3	999.800584794479420E-3	997.051729200183700E-3	999.681539407161090E-3
1.354000000000000E+3	999.326961369017330E-3	989.098386222994170E-3	999.127140819810580E-3
1.355000000000000E+3	998.804433012857820E-3	989.320746253918860E-3	998.646722394140210E-3
1.356000000000000E+3	999.254901002706200E-3	987.516558112948690E-3	999.197640453906470E-3
1.357000000000000E+3	998.912165615222340E-3	970.888081995154080E-3	998.761975099643040E-3
1.358000000000000E+3	996.393669921496580E-3	948.192255050068320E-3	992.368720715995580E-3
1.359000000000000E+3	997.161598648392160E-3	941.047569988038510E-3	990.880024401930680E-3
1.360000000000000E+3	998.450162430697950E-3	978.100782186096640E-3	995.098148145229010E-3
1.361000000000000E+3	999.470292267855220E-3	990.392622770531420E-3	998.929069694762470E-3
1.362000000000000E+3	999.749875626388060E-3	994.462416551963880E-3	999.211665744886400E-3
1.363000000000000E+3	999.765918506653080E-3	993.877561764489820E-3	999.343655406384920E-3
1.364000000000000E+3	999.721673947173930E-3	993.549507118027250E-3	999.389552066780370E-3
1.365000000000000E+3	999.561161952297830E-3	989.707888669885350E-3	999.331166999458340E-3
1.366000000000000E+3	999.627344082993140E-3	992.292694767407450E-3	999.579828966739250E-3
1.367000000000000E+3	999.076775344706400E-3	993.357971089847020E-3	998.913276796208340E-3
1.368000000000000E+3	997.848588171282300E-3	973.641572195721780E-3	997.763619438825520E-3
1.369000000000000E+3	998.189440497193940E-3	971.334359392802990E-3	996.301976385994270E-3
1.370000000000000E+3	998.934720889697040E-3	974.308407344184330E-3	996.838401482331380E-3
1.371000000000000E+3	999.309092255479480E-3	992.456779743882470E-3	998.352406545625510E-3
1.372000000000000E+3	999.839707817064770E-3	995.794578162806590E-3	999.246836961342420E-3
1.373000000000000E+3	998.772388926667200E-3	984.955587210003540E-3	996.957242308503800E-3
1.374000000000000E+3	991.375180412181090E-3	896.605538964980080E-3	990.724770561848930E-3
1.375000000000000E+3	990.628307938772880E-3	836.893368627498190E-3	983.727974957259050E-3
1.376000000000000E+3	990.392034109392920E-3	835.207570684328940E-3	979.952792894769440E-3
1.377000000000000E+3	996.263281986601080E-3	907.406721510098820E-3	988.535946550068380E-3
1.378000000000000E+3	995.377055773168820E-3	926.520075293165710E-3	986.097822575532690E-3
1.379000000000000E+3	999.332893432209430E-3	994.524436624067200E-3	997.815655776500330E-3
1.380000000000000E+3	999.577142075687370E-3	997.533991571806440E-3	998.598084373639280E-3
1.381000000000000E+3	998.376218675981590E-3	988.904309623350520E-3	996.531994071780390E-3
1.382000000000000E+3	994.684990356899170E-3	937.003698851743170E-3	992.706437424055290E-3
1.383000000000000E+3	998.521096989874010E-3	971.336287430810680E-3	998.140583252354550E-3
1.384000000000000E+3	998.540082286772380E-3	984.961727676581970E-3	996.742606809757350E-3
1.385000000000000E+3	995.264659776098460E-3	988.048295666247860E-3	993.220451046873180E-3
1.386000000000000E+3	994.781749395186040E-3	979.638552474806130E-3	985.770438329998110E-3
1.387000000000000E+3	998.485257010750530E-3	992.063339057675410E-3	995.599630949949410E-3
1.388000000000000E+3	999.099765980630110E-3	992.027242431531620E-3	996.988338051119420E-3
1.389000000000000E+3	997.565978112946890E-3	992.124226429459850E-3	993.811748007192190E-3
1.390000000000000E+3	996.188871512675100E-3	990.313619820259010E-3	991.285616341301630E-3
1.391000000000000E+3	995.327781670960480E-3	984.210732789858710E-3	990.313634394654250E-3
1.392000000000000E+3	992.837982461659770E-3	974.514788994160330E-3	988.934483433701830E-3
1.393000000000000E+3	992.354872959196330E-3	959.861793085202700E-3	984.652307724811380E-3
1.394000000000000E+3	993.847757003893050E-3	973.136257533336990E-3	983.428757327043050E-3
1.395000000000000E+3	999.327445151376390E-3	996.616228699565010E-3	998.723160952452060E-3
1.396000000000000E+3	999.827767563842950E-3	998.842939139340860E-3	999.656575042285110E-3
1.397000000000000E+3	999.531838593570980E-3	998.967227839708820E-3	999.109023784995780E-3
1.398000000000000E+3	997.186753474347380E-3	993.752338176181910E-3	995.623193304502770E-3
1.399000000000000E+3	996.634320573592800E-3	993.670803913801030E-3	993.837108772091190E-3
1.400000000000000E+3	992.597672638369290E-3	979.237289691407770E-3	988.184272483919380E-3
1.401000000000000E+3	988.520029086231160E-3	963.381798280543270E-3	984.167472558070910E-3
1.402000000000000E+3	996.426249850805630E-3	988.543793739515290E-3	996.300668717627010E-3
1.403000000000000E+3	996.978983319032560E-3	988.110030801098380E-3	996.239459500980250E-3
1.404000000000000E+3	997.835443852644780E-3	993.231053658609970E-3	996.553958370598350E-3
1.405000000000000E+3	997.779760351059970E-3	991.575542969695300E-3	995.794166626810420E-3
1.406000000000000E+3	995.139269793383630E-3	985.148564664895090E-3	993.418350720940090E-3
1.407000000000000E+3	997.091819109038550E-3	982.796450053686210E-3	990.346679853033710E-3
1.408000000000000E+3	997.631305590870430E-3	993.103108824370360E-3	995.324065757562270E-3
1.409000000000000E+3	997.780971179194290E-3	988.838454767235420E-3	996.661238011815610E-3
1.410000000000000E+3	997.908038483757310E-3	992.783630657282150E-3	995.994052904714770E-3
1.411000000000000E+3	998.208123831495260E-3	997.529803013941900E-3	996.922000973958220E-3
1.412000000000000E+3	998.148748658073240E-3	997.019197925277380E-3	996.574935473232610E-3
1.413000000000000E+3	998.442937675637190E-3	998.023027758176750E-3	997.750042684860340E-3
1.414000000000000E+3	997.570777919573490E-3	996.454693706176900E-3	996.041860277485200E-3
1.415000000000000E+3	995.734292009496920E-3	993.926852907891400E-3	992.013628126146350E-3
1.416000000000000E+3	992.708094697796310E-3	984.603760028663900E-3	982.435388287466570E-3
1.417000000000000E+3	995.549256007773550E-3	988.782047257061650E-3	990.520229971879050E-3
1.418000000000000E+3	993.648228675952040E-3	987.652818066283130E-3	988.944106885033760E-3
1.419000000000000E+3	995.090929092344530E-3	989.411398720950300E-3	992.755843370131900E-3
1.420000000000000E+3	997.273022043289380E-3	994.623255465784230E-3	994.467274709239900E-3
1.421000000000000E+3	993.379261450608060E-3	994.717454801573700E-3	984.524839967394370E-3
