Freq (Hz)	mic2/mic1_Mod	mic2/mic1_Phase(rad)	mic3/mic1_Mod	mic3/mic1_Phase(rad)	mic4/mic1_Mod	mic4/mic1_Phase(rad)
960.000000000000110E+0	753.112174160001530E-3	89.637520343443827E-3	608.214921597591050E-3	31.988885916704547E-3	884.118407775775660E-3	-6.298291138590053E+0
961.000000000000110E+0	752.986935500278290E-3	93.261320228817252E-3	609.071129572785640E-3	31.323726186155594E-3	883.628688236965830E-3	-6.301350959468456E+0
962.000000000000110E+0	753.069980003683410E-3	95.920096606972594E-3	610.228633850450010E-3	29.998111606534469E-3	883.667291318970480E-3	-6.303273348703040E+0
963.000000000000110E+0	753.652095203856900E-3	98.421932913590929E-3	612.140398569164910E-3	28.672177039531854E-3	884.665420463529360E-3	-6.305423900105583E+0
964.000000000000110E+0	754.234091891706540E-3	98.917411805039823E-3	614.690047932539900E-3	24.881417217686708E-3	886.017975255381060E-3	-6.308832422729425E+0
965.000000000000110E+0	754.001332299865770E-3	99.589610252524538E-3	616.990406228806410E-3	19.303892131031022E-3	886.784819806114010E-3	-6.312968472956141E+0
966.000000000000110E+0	753.509335921333400E-3	99.749473016618545E-3	618.839533184379680E-3	12.414260573143350E-3	887.688064318808760E-3	-6.317044423697526E+0
967.000000000000110E+0	751.805071499419660E-3	101.367844711052490E-3	620.614108465559640E-3	5.608702717031391E-3	889.031249146629790E-3	-6.322404644580117E+0
968.000000000000110E+0	751.779765255980230E-3	104.170484328736430E-3	622.811113801974850E-3	-2.393229648917600E-3	889.184284221658180E-3	-6.329158589745261E+0
969.000000000000110E+0	752.290724182424150E-3	105.174723115528310E-3	625.019027409678520E-3	-11.364172038681513E-3	888.356467264686760E-3	-6.334826987360745E+0
970.000000000000110E+0	752.827507782754200E-3	106.052140225076340E-3	627.651034722243370E-3	-21.122322322077908E-3	888.808678884391630E-3	-6.340141699610254E+0
971.000000000000110E+0	753.146190276006710E-3	106.301008959035830E-3	630.494153364984600E-3	-31.790845014258370E-3	888.899720704108940E-3	-6.346755608051073E+0
972.000000000000110E+0	753.733844139779510E-3	106.928355171611420E-3	633.933583459851620E-3	-43.064329073997307E-3	888.456507347437640E-3	-6.352678502813616E+0
973.000000000000110E+0	755.075863122997130E-3	105.192301739586520E-3	638.449485688981970E-3	-55.981779783328960E-3	888.964541351909500E-3	-6.357847503074927E+0
974.000000000000110E+0	754.554679497994260E-3	101.732885242254490E-3	643.657242729948510E-3	-71.942409704510185E-3	891.388492193926570E-3	-6.364073000102041E+0
975.000000000000110E+0	753.524345226732730E-3	99.016741274292400E-3	648.688994492372720E-3	-91.274934483119755E-3	893.989874684662400E-3	-6.373094979138768E+0
976.000000000000110E+0	752.591760091102850E-3	95.499478698371512E-3	653.169455564231780E-3	-113.211378044556280E-3	895.910995279275760E-3	-6.383417459588910E+0
977.000000000000110E+0	751.131978362713730E-3	91.091803321563664E-3	657.466085165039350E-3	-137.604518389031400E-3	898.112814444712250E-3	-6.394785736474982E+0
978.000000000000110E+0	748.230764360228390E-3	86.133431231209853E-3	661.248295447735450E-3	-165.440519874684060E-3	900.377476757983960E-3	-6.408217236238409E+0
979.000000000000110E+0	743.961680203987010E-3	81.425440049349318E-3	664.101775749418530E-3	-196.609455174934940E-3	901.766576064683690E-3	-6.423964569817333E+0
980.000000000000110E+0	738.488102984475650E-3	77.308112589242139E-3	666.282677151147200E-3	-231.786044487704980E-3	901.686402874754430E-3	-6.441665661337764E+0
981.000000000000110E+0	732.397485734386010E-3	73.661605407169484E-3	667.344657530140490E-3	-271.854084167829250E-3	900.293011072567210E-3	-6.460717610528087E+0
982.000000000000110E+0	724.826840907178750E-3	70.226426259715577E-3	666.986716227518710E-3	-316.873659400406960E-3	898.362695440586560E-3	-6.481751936321360E+0
983.000000000000110E+0	715.388153009843040E-3	68.150129231590820E-3	664.934680537045520E-3	-367.432340479413920E-3	895.131235928684930E-3	-6.505538875245475E+0
984.000000000000110E+0	704.362430750809400E-3	69.454454826236384E-3	660.821448206990620E-3	-423.959440102590180E-3	890.550232660950120E-3	-6.532309363701087E+0
985.000000000000110E+0	693.063528006600980E-3	74.696676894829839E-3	654.394691722793630E-3	-487.345912018323830E-3	883.181663953765180E-3	-6.563316028536597E+0
986.000000000000110E+0	682.604797153244400E-3	85.745640254480754E-3	646.237161566683650E-3	-556.953359203765100E-3	872.811323047618210E-3	-6.597510272064059E+0
