Freq (Hz)	Coh_mic2/mic1	Coh_mic3/mic1	Coh_mic4/mic1
1.185000000000000E+3	999.936901095750060E-3	999.974833294826170E-3	999.804243218639140E-3
1.186000000000000E+3	999.943087637780500E-3	999.979515207115370E-3	999.817172498364330E-3
1.187000000000000E+3	999.950062926835190E-3	999.984082418775680E-3	999.825799558255120E-3
1.188000000000000E+3	999.948149788512760E-3	999.984555568905090E-3	999.835818987646950E-3
1.189000000000000E+3	999.953694585203560E-3	999.984589028100940E-3	999.843846063793400E-3
1.190000000000000E+3	999.966098765026290E-3	999.981579828577720E-3	999.870443701839080E-3
1.191000000000000E+3	999.967585911960890E-3	999.978858451731730E-3	999.884823082699330E-3
1.192000000000000E+3	999.960154797927770E-3	999.983246956016920E-3	999.889831186287270E-3
1.193000000000000E+3	999.958454624056970E-3	999.988469558729330E-3	999.861403323198170E-3
1.194000000000000E+3	999.968753697936700E-3	999.988857210708290E-3	999.858418581254460E-3
1.195000000000000E+3	999.980202744177430E-3	999.987962872590060E-3	999.901695062625490E-3
1.196000000000000E+3	999.984494440588230E-3	999.990269607346160E-3	999.930219989569430E-3
1.197000000000000E+3	999.981757620732600E-3	999.987841322604100E-3	999.933001772532970E-3
1.198000000000000E+3	999.982924052319140E-3	999.984120986616710E-3	999.953482683155760E-3
1.199000000000000E+3	999.968799349849720E-3	999.989983369351410E-3	999.935148955105930E-3
1.200000000000000E+3	999.965831521180010E-3	999.988254241887310E-3	999.923535093207530E-3
1.201000000000000E+3	999.982268130402360E-3	999.990910589630520E-3	999.965925489845200E-3
1.202000000000000E+3	999.963466821713330E-3	999.996947671120910E-3	999.927357110571460E-3
1.203000000000000E+3	999.974948162284600E-3	999.988972724482170E-3	999.930974297678960E-3
1.204000000000000E+3	999.988563475394000E-3	999.991572402023410E-3	999.952812090573630E-3
1.205000000000000E+3	999.985909249846980E-3	999.990808744045890E-3	999.943820418697890E-3
1.206000000000000E+3	999.987351625593820E-3	999.984763592441710E-3	999.942612269927200E-3
1.207000000000000E+3	999.992451260953480E-3	999.986551622177420E-3	999.961558279930830E-3
1.208000000000000E+3	999.987566873355550E-3	999.989529931237020E-3	999.966818208018140E-3
1.209000000000000E+3	999.988056761752620E-3	999.987245124718930E-3	999.969766914361460E-3
1.210000000000000E+3	999.988081470875260E-3	999.990628178610400E-3	999.978117738115850E-3
1.211000000000000E+3	999.987059658631660E-3	999.991435496291550E-3	999.984007382998200E-3
