Freq (Hz)	mic2/mic1_Real	mic2/mic1_Imag	mic3/mic1_Real	mic3/mic1_Imag	mic4/mic1_Real	mic4/mic1_Imag
2.075000000000000E+3	-3.532391720446242E-3	9.413994664528948E-3	210.761401786177780E-3	-229.322177192852330E-3	14.933435512986436E-3	-24.609596908985360E-3
2.076000000000000E+3	-3.904226104106718E-3	9.649211973981886E-3	212.483965467611360E-3	-230.428445583111150E-3	14.650682548021123E-3	-23.944289664769719E-3
2.077000000000000E+3	-4.237679229625912E-3	9.921311537880249E-3	214.131995783165270E-3	-231.595266139540040E-3	14.435618812673719E-3	-23.403612394132776E-3
2.078000000000000E+3	-4.658370066345923E-3	10.097468290361329E-3	215.768420328627140E-3	-232.845224328583790E-3	14.081170640601701E-3	-22.850335048032883E-3
2.079000000000000E+3	-4.904252951239268E-3	10.322346475339833E-3	217.374449901935550E-3	-233.974753067672820E-3	13.897356086814925E-3	-22.360800514264728E-3
2.080000000000000E+3	-5.344034914723315E-3	10.512465098348731E-3	219.029269303410300E-3	-235.361482536816070E-3	13.743698990502911E-3	-21.948167385685551E-3
2.081000000000000E+3	-5.742802327501973E-3	10.733700917463484E-3	220.670796213242480E-3	-236.485883841304480E-3	13.669662504534700E-3	-21.438205026619184E-3
2.082000000000000E+3	-6.027609697534016E-3	10.852413646161248E-3	222.298479947396820E-3	-237.650691133715480E-3	13.501977544567473E-3	-21.021723033344184E-3
2.083000000000000E+3	-6.392800621485843E-3	11.013777540771026E-3	223.869376849144430E-3	-238.795749308610030E-3	13.348238874226049E-3	-20.730276998484547E-3
2.084000000000000E+3	-6.693764178948188E-3	11.232078105137407E-3	225.509917084851770E-3	-239.938764597648900E-3	13.305153267890972E-3	-20.400931911764102E-3
2.085000000000000E+3	-7.061659403196701E-3	11.370952660663005E-3	227.090289148100480E-3	-240.966133179976340E-3	13.150061426907594E-3	-20.106731358489831E-3
2.086000000000000E+3	-7.307686125800760E-3	11.563669839334909E-3	228.589557017134400E-3	-242.096372665423250E-3	12.970743021238748E-3	-19.986338105437498E-3
2.087000000000000E+3	-7.708683680314893E-3	11.691574320084219E-3	230.161393244565610E-3	-243.280045154767090E-3	13.030572137852669E-3	-19.791727369544064E-3
2.088000000000000E+3	-7.923478736510834E-3	11.852340627886010E-3	231.706141979893310E-3	-244.266640866856320E-3	12.713335516903613E-3	-19.555253643147197E-3
2.089000000000000E+3	-8.323801213322402E-3	12.014499981490239E-3	233.125953490730310E-3	-245.440683858697970E-3	12.594603102378992E-3	-19.564019978782009E-3
2.090000000000000E+3	-8.544545189609759E-3	12.042601223538684E-3	234.518342914136150E-3	-246.499731040762310E-3	12.435263619350495E-3	-19.427005252084028E-3
2.091000000000000E+3	-8.869200218385541E-3	12.249956788996534E-3	236.008750880957350E-3	-247.728498452023690E-3	12.298048952000342E-3	-19.396651941223638E-3
2.092000000000000E+3	-9.180457674545067E-3	12.262584422748546E-3	237.451433780570070E-3	-248.642790577952940E-3	12.100706752778249E-3	-19.219284330377416E-3
2.093000000000000E+3	-9.300629901393161E-3	12.286361159745020E-3	238.731770696274600E-3	-249.762058162319110E-3	11.791248030556045E-3	-19.133994544195787E-3
2.094000000000000E+3	-9.676751140565924E-3	12.484894651547231E-3	240.316284824296510E-3	-250.862217444069060E-3	11.739260213743292E-3	-19.089777946120622E-3
2.095000000000000E+3	-9.850321531928642E-3	12.494865777826542E-3	241.788401480867280E-3	-251.843612881295750E-3	11.363760267138969E-3	-18.987872425154931E-3
2.096000000000000E+3	-10.131670537506739E-3	12.542190299888487E-3	243.505784794854820E-3	-252.883188391347440E-3	11.240709968603251E-3	-18.844167084102748E-3
2.097000000000000E+3	-10.424451881825324E-3	12.531059936242270E-3	245.135766579828520E-3	-253.819376430822200E-3	11.024378517565450E-3	-18.778561821250865E-3
2.098000000000000E+3	-10.633333913807169E-3	12.574522951234197E-3	246.938744019070150E-3	-254.742187040621460E-3	10.823043158397076E-3	-18.601975127809520E-3
2.099000000000000E+3	-10.923025609256122E-3	12.469483527657857E-3	248.577443001190280E-3	-255.569663162798670E-3	10.561885463894308E-3	-18.523882641831510E-3
2.100000000000000E+3	-11.137494033613792E-3	12.418929390621522E-3	250.247621023084180E-3	-256.629826790236660E-3	10.468756384952057E-3	-18.431807651503609E-3
2.101000000000000E+3	-11.305711699272443E-3	12.377493078388266E-3	251.870514253327630E-3	-257.554966598685210E-3	10.243403333677058E-3	-18.379734840389916E-3
2.102000000000000E+3	-11.666740148834176E-3	12.435410300508843E-3	253.463723716060240E-3	-258.580110591623170E-3	10.279547624715300E-3	-18.281254564903791E-3
2.103000000000000E+3	-11.952797750364686E-3	12.287336545638230E-3	255.011948059488740E-3	-259.612559462083060E-3	10.036850558562691E-3	-18.099399717498899E-3
2.104000000000000E+3	-12.271535077463879E-3	12.229223495887084E-3	256.543440329215500E-3	-260.636585932871150E-3	9.990442229432834E-3	-18.123086897029760E-3
2.105000000000000E+3	-12.503994919921690E-3	12.041932545410977E-3	258.071990017556430E-3	-261.560835326707100E-3	9.660543914553170E-3	-17.980264624263824E-3
